   0.00000    -3.70    0.00350     5.50   -0.01960     -7.30     0.03910     -5.90
   0.14760   -11.90    0.14200    -2.60    0.12990      7.80     0.17170     11.40
   0.41420   -17.40    0.40790    -8.40    0.38220      3.00     0.45820      5.80
   0.54840   -18.10    0.53230    -8.10    0.51140      2.50     0.57820      6.00
   0.78550   -18.30    0.77720    -8.80    0.76000      2.00     0.82020      5.70
   0.95770   -17.70    0.93610    -9.00    0.90510      2.50     0.96790      6.20
   1.20170   -18.00    1.18220    -8.70    1.15970      2.00     1.22060      5.20
   1.32820   -17.90    1.31630    -8.90    1.28450      2.00     1.34880      6.30
   1.56830   -17.20    1.56400    -8.70    1.52510      2.60     1.58520      6.60
   1.70980   -16.10    1.68100    -7.80    1.64790      3.00     1.72240      6.60
   1.96550   -17.90    1.95520    -8.60    1.93190      2.30     1.98730      6.80
   2.11370   -16.90    2.09190    -8.80    2.07280      2.20     2.12090      6.50
   2.34480   -16.80    2.34170    -8.60    2.32830      1.80     2.38140      6.10
   2.51630   -16.40    2.49750    -8.60    2.47090      1.90     2.50850      6.00
   2.74910   -16.60    2.73770    -9.20    2.73730      3.40     2.77370      4.50
   2.90250   -16.20    2.90780    -9.40    2.87420      3.90     2.91040      5.20
   3.13200   -16.50    3.11030    -9.80    3.11470      3.40     3.13660      5.80
   3.27530   -17.00    3.26500   -10.60    3.24700      2.70     3.30240      5.90
   3.52750   -16.80    3.53160    -9.10    3.50220      3.20     3.55350      6.40
   3.67310   -16.50    3.65180    -8.80    3.63970      3.30     3.69570      6.60
   3.89710   -16.70    3.90470    -8.50    3.88550      2.50     3.94220      6.80
   4.06550   -16.10    4.06560    -8.90    4.04680      1.90     4.08610      6.30
   4.29460   -15.40    4.29630    -8.80    4.25890      1.40     4.34030      6.70
   4.43420   -15.50    4.42550    -8.00    4.38480      2.00     4.46020      6.40
   4.70150   -16.00    4.71440    -8.10    4.69080      2.60     4.73670      6.10
   4.86810   -14.90    4.85340    -8.50    4.81780      2.10     4.86910      5.40
   5.08840   -15.50    5.09090    -8.70    5.06760      1.10     5.11250      5.80
   5.21950   -14.60    5.21340    -8.90    5.18140      1.40     5.23450      5.90
   5.43280   -14.30    5.43420    -9.40    5.43180      2.50     5.48090      5.50
   5.60040   -13.80    5.57070    -8.40    5.55620      2.70     5.59660      5.80
   5.83650   -14.80    5.83910    -9.20    5.81690      2.60     5.86050      6.30
   6.01670   -15.00    6.00190    -9.20    5.96720      2.50     6.01620      6.70
   6.25470   -15.30    6.24420    -9.00    6.19390      2.90     6.26770      5.50
   6.37900   -15.30    6.38930    -8.90    6.32960      2.50     6.38880      6.00
   6.61840   -15.10    6.61790    -8.40    6.59640      2.00     6.64370      5.50
   6.77410   -14.30    6.77930    -9.00    6.72240      2.50     6.79530      5.60
   6.99640   -13.40    6.99970    -8.00    6.93820      1.90     7.02860      5.80
   7.14380   -13.20    7.14760    -8.80    7.09800      2.70     7.16350      5.10
   7.39780   -13.50    7.37560    -8.30    7.35570      2.50     7.39300      5.40
   7.57080   -12.20    7.55270    -7.90    7.51450      2.60     7.58890      5.90
   7.77560   -13.10    7.75150    -8.70    7.71940      1.00     7.80400      6.00
   7.91790   -13.00    7.89430    -9.50    7.84510      1.60     7.92900      6.40
   8.18070   -13.10    8.16370    -8.20    8.11390      2.20     8.20430      5.70
   8.28740   -12.40    8.26600    -8.70    8.23340      2.20     8.30420      5.30
   8.53310   -11.60    8.52350    -9.40    8.49910      2.40     8.55980      5.00
   8.68330   -13.00    8.65660    -8.50    8.62280      2.90     8.68770      5.10
   8.91290   -12.40    8.90780    -8.50    8.85310      1.30     8.94460      5.60
   9.08130   -11.60    9.04740    -8.50    9.02710      2.50     9.10110      5.80
   9.35510   -12.60    9.35840    -9.60    9.33180      1.80     9.38540      5.90
   9.57670   -12.50    9.57400    -8.90    9.53340      2.10     9.59890      6.00
   9.76100   -11.80    9.74000    -8.80    9.69850      2.10     9.77300      5.00
   9.90640   -11.60    9.89390    -8.00    9.84860      1.90     9.91670      4.30
  10.15220   -11.20   10.15460    -8.10   10.10440      2.40    10.17080      5.90
  10.29150   -11.90   10.28020    -7.90   10.24580      1.00    10.29540      4.70
  10.51340   -11.70   10.50970    -7.90   10.48810      1.90    10.53360      4.40
  10.66540   -10.80   10.63500    -8.80   10.61570      1.00    10.67810      4.10
  10.93600   -11.00   10.91860    -7.70   10.90030      2.20    10.95930      4.30
  11.09130   -11.10   11.06470    -9.10   11.03350      2.00    11.10590      5.30
  11.42230   -11.00   11.40340    -8.40   11.37590      2.80    11.44010      5.40
  11.44100   -10.50   11.43700    -8.50   11.40030      2.60    11.46670      5.20
  11.71730   -10.80   11.71680    -9.40   11.67060      1.90    11.76660      5.80
  11.89910   -10.30   11.88800    -8.90   11.84060      2.70    11.92190      4.70
  12.14090   -10.00   12.14300    -9.60   12.10360      2.10    12.16100      4.80
  12.23090   -10.10   12.23760    -8.40   12.19200      2.70    12.25760      4.80
  12.46980   -11.30   12.48410    -9.40   12.43190      3.10    12.48890      4.60
  12.59460    -9.80   12.59680    -8.30   12.56760      2.90    12.62950      4.70
  12.86080   -10.00   12.87530    -8.30   12.82470      2.30    12.87630      5.50
  12.97520    -9.50   12.98760    -7.60   12.95330      2.60    13.00240      5.00
  13.24400    -9.00   13.25410    -9.00   13.21350      2.40    13.26380      5.70
  13.40470    -9.30   13.40480    -8.30   13.36120      3.30    13.42780      6.00
  13.63690    -6.70   13.62060    -8.90   13.59830      2.70    13.64610      5.60
